Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,location,City,Base_Model,DemandScore
verna,2015,5.95,9.4,36000,Petrol,Dealer,Manual,0,Jaipur,Delhi,verna,80
i10,2013,4.0,4.6,30000,Petrol,Dealer,Manual,0,Pune,Chennai,i10,83
i20,2016,5.25,7.6,17000,Petrol,Dealer,Manual,0,Delhi,Pune,i20,69
creta,2016,12.9,13.6,35934,Diesel,Dealer,Manual,0,Hyderabad,Pune,creta,90
city,2013,5.0,9.9,56701,Petrol,Dealer,Manual,0,Kolkata,Chennai,city,30
brio,2015,5.4,6.82,31427,Petrol,Dealer,Automatic,0,Bangalore,Kolkata,brio,52
city,2014,7.2,9.9,48000,Diesel,Dealer,Manual,0,Bangalore,Mumbai,city,48
city,2013,5.25,9.9,54242,Petrol,Dealer,Manual,0,Lucknow,Bangalore,city,49
brio,2012,3.0,5.35,53675,Petrol,Dealer,Manual,0,Jaipur,Bangalore,brio,65
city,2016,10.25,13.6,49562,Petrol,Dealer,Manual,0,Jaipur,Lucknow,city,86
city,2015,8.5,13.6,40324,Petrol,Dealer,Manual,0,Delhi,Delhi,city,65
city,2015,8.4,13.6,25000,Petrol,Dealer,Manual,0,Hyderabad,Jaipur,city,75
amaze,2014,3.9,7.0,36054,Petrol,Dealer,Manual,0,Ahmedabad,Ahmedabad,amaze,85
city,2016,9.15,13.6,29223,Petrol,Dealer,Manual,0,Lucknow,Ahmedabad,city,31
brio,2016,5.5,5.97,5600,Petrol,Dealer,Manual,0,Bangalore,Hyderabad,brio,51
amaze,2015,4.0,5.8,40023,Petrol,Dealer,Manual,0,Lucknow,Lucknow,amaze,51
jazz,2016,6.6,7.7,16002,Petrol,Dealer,Manual,0,Lucknow,Kolkata,jazz,89
amaze,2015,4.0,7.0,40026,Petrol,Dealer,Manual,0,Jaipur,Chennai,amaze,47
jazz,2017,6.5,8.7,21200,Petrol,Dealer,Manual,0,Ahmedabad,Jaipur,jazz,92
amaze,2014,3.65,7.0,35000,Petrol,Dealer,Manual,0,Ahmedabad,Delhi,amaze,59
city,2016,8.35,9.4,19434,Diesel,Dealer,Manual,0,Lucknow,Chennai,city,30
brio,2017,4.8,5.8,19000,Petrol,Dealer,Manual,0,Lucknow,Chennai,brio,44
city,2015,6.7,10.0,18828,Petrol,Dealer,Manual,0,Bangalore,Bangalore,city,49
city,2011,4.1,10.0,69341,Petrol,Dealer,Manual,0,Kolkata,Delhi,city,65
city,2009,3.0,10.0,69562,Petrol,Dealer,Manual,0,Chennai,Chennai,city,30
city,2015,7.5,10.0,27600,Petrol,Dealer,Manual,0,Lucknow,Bangalore,city,49
jazz,2010,2.25,7.5,61203,Petrol,Dealer,Manual,0,Bangalore,Delhi,jazz,78
brio,2014,5.3,6.8,16500,Petrol,Dealer,Manual,0,Delhi,Mumbai,brio,69
city,2016,10.9,13.6,30753,Petrol,Dealer,Automatic,0,Jaipur,Pune,city,89
city,2015,8.65,13.6,24800,Petrol,Dealer,Manual,0,Hyderabad,Kolkata,city,73
city,2015,9.7,13.6,21780,Petrol,Dealer,Manual,0,Bangalore,Jaipur,city,75
jazz,2016,6.0,8.4,4000,Petrol,Dealer,Manual,0,Kolkata,Chennai,jazz,51
city,2014,6.25,13.6,40126,Petrol,Dealer,Manual,0,Chennai,Mumbai,city,48
brio,2015,5.25,5.9,14465,Petrol,Dealer,Manual,0,Mumbai,Jaipur,brio,70
city,2006,2.1,7.6,50456,Petrol,Dealer,Manual,0,Jaipur,Jaipur,city,75
city,2014,8.25,14.0,63000,Diesel,Dealer,Manual,0,Mumbai,Delhi,city,65
city,2016,8.99,11.8,9010,Petrol,Dealer,Manual,0,Bangalore,Pune,city,89
brio,2013,3.5,5.9,9800,Petrol,Dealer,Manual,0,Chennai,Delhi,brio,86
jazz,2016,7.4,8.5,15059,Petrol,Dealer,Automatic,0,Mumbai,Mumbai,jazz,94
jazz,2016,5.65,7.9,28569,Petrol,Dealer,Manual,0,Jaipur,Kolkata,jazz,89
amaze,2015,5.75,7.5,44000,Petrol,Dealer,Automatic,0,Chennai,Ahmedabad,amaze,85
city,2015,8.4,13.6,34000,Petrol,Dealer,Manual,0,Delhi,Pune,city,89
city,2016,10.11,13.6,10980,Petrol,Dealer,Manual,0,Kolkata,Jaipur,city,75
amaze,2014,4.5,6.4,19000,Petrol,Dealer,Manual,0,Jaipur,Delhi,amaze,59
brio,2015,5.4,6.1,31427,Petrol,Dealer,Manual,0,Hyderabad,Bangalore,brio,65
jazz,2016,6.4,8.4,12000,Petrol,Dealer,Manual,0,Chennai,Mumbai,jazz,94
city,2010,3.25,9.9,38000,Petrol,Dealer,Manual,0,Hyderabad,Ahmedabad,city,31
amaze,2014,3.75,6.8,33019,Petrol,Dealer,Manual,0,Kolkata,Chennai,amaze,47
city,2015,8.55,13.09,60076,Diesel,Dealer,Manual,0,Delhi,Hyderabad,city,42
city,2016,9.5,11.6,33988,Diesel,Dealer,Manual,0,Jaipur,Hyderabad,city,42
brio,2015,4.0,5.9,60000,Petrol,Dealer,Manual,0,Kolkata,Mumbai,brio,69
city,2009,3.35,11.0,87934,Petrol,Dealer,Manual,0,Bangalore,Delhi,city,65
city,2017,11.5,12.5,9000,Diesel,Dealer,Manual,0,Lucknow,Mumbai,city,48
brio,2016,5.3,5.9,5464,Petrol,Dealer,Manual,0,Mumbai,Kolkata,brio,52
